Date,Opinion,Pro,TweetText
10/19/18 9:55,Positive,,"A new home brings with it the power to dream bigger and fulfil aspirations. \n\n\xe2\x80\x98Housing for All\xe2\x80\x99 is a great way to fight poverty. \n\nWatch the interaction with beneficiaries from Thane, where beneficiaries also recited a poem and sang a song! https://t.co/42AHbI7lRe'"
10/19/18 9:52,Positive,,"Pradhan Mantri Awas Yojana beneficiaries from Solapur were happy about the e-Griha Pravesh but they were even happier because their homes are in the names of women, thus furthering women empowerment. \n\nWe had a delightful interaction. https://t.co/ayMnACtCO8'"
10/18/18 11:29,Neutral,,"Saddened by the passing away of Shri ND Tiwari Ji. A towering leader, he was known for his administrative skills. He will be remembered for his efforts towards industrial growth &amp; working for the progress of UP &amp; Uttarakhand, a state he steered in its initial days. My condolences'"
10/17/18 14:30,Negative,Pro Gov,"The Madhya Pradesh Congress is \xe2\x80\x98amazing\xe2\x80\x99!\n\nThey have three leaders but zero vision for the state. \n\nTo belittle MP, they share images from other nations and claim the images are from MP.\n\nIn contrast, Shivraj Ji is working assiduously to transform the state. https://t.co/BZR8PYZXWz'"
10/17/18 3:05,Positive,,"Today we worship Maa Mahagauri, the 8th Avatar of Maa Durga. We seek her blessings so that every human is happy and is free from suffering. May there be peace and togetherness all around. https://t.co/XSWtmJyAZs'"
10/16/18 16:02,Positive,,"Kanickai Irudayaraj Jennitha Anto was in great form throughout the Asian Para Games 2018. She finished with a Gold, 2 Silvers and a Bronze. As a five-time world Chess champion, her focus and determination are inspirational. https://t.co/qJnwANuan7'"
10/16/18 15:09,Positive,,"Mohd. Yasser won a Silver in Discus throw at the 2018 Asian Para Games. Yasser has been passionate about sports since a very young age. As a child, he met with an accident but such is his will-power that he continued playing, practising and won medals. Happy to have met him. https://t.co/F8oPe53paY'"
10/16/18 15:03,Positive,,"Congratulations to Dharambir for the Silver medal in Men's Club Throw F51 event at the Asian Para Games 2018. His commitment towards sports is truly laudable. It was great to interact with him today. May he continue to bring many more laurels in the coming years. https://t.co/G4LNZ56eLS"""
10/16/18 15:02,Positive,,Chirag Baretha was a part of the Indian team that won the Bronze Medal in Badminton. Wishing this inspirational sportsperson great success in the future too. We are proud of you! https://t.co/hDCapZQdEE'
10/16/18 14:56,Positive,,"Great meeting the talented Anandan Gunasekaran who won a Silver and a Bronze in Men's 400m and 200m respectively at the Asian Para Games 2018 in Jakarta. My best wishes for all his future endeavours. https://t.co/QLMdzGaTrd"""
10/15/18 13:55,Positive,,"The friendly people of Botswana greatly respect Bapu's thoughts. Here is Shanti Lo singing \xe2\x80\x98Vaishnava Jana To.\xe2\x80\x99 #Gandhi150\n \nhttps://t.co/r2lGBpwoWD"""
10/15/18 13:41,Positive,,Great to see Mr. Tofiq Aliyev \xe2\x80\x98Mukesh\xe2\x80\x99 of Azerbaijan singing \xe2\x80\x98Vaishnava Jana To\xe2\x80\x99 at Ateshgah and Martyrs Monuments in Baku. #Gandhi150 \n\nhttps://t.co/r4LdumhyFH'
10/15/18 5:47,Positive,,"An exceptional teacher, a wonderful motivator, an outstanding scientist and a great President, Dr. Kalam lives in the hearts and minds of every Indian. Remembering him on his Jayanti. https://t.co/Ko46nUhXx4'"
10/11/18 15:06,Neutral,,"Saddened by the demise of Shri GD Agarwal Ji. His passion towards learning, education, saving the environment, particularly Ganga cleaning will always be remembered. My condolences.'"
10/9/18 14:03,Positive,,"Happy to meet Hon. @AndrewScheer, Canada's Leader of the Opposition. \n\nStressed the significance of strong India-Canada relations and wished him a pleasant stay in India. https://t.co/orO4y3grSp"""
10/6/18 12:43,Negative,Pro Gov,"When I had to decide where to mark the Parakram Parv, I decided to come to Jodhpur, in the brave land of Rajasthan. \n\nWe are proud of our Army but the Congress questions surgical strikes and insults the armed forces! https://t.co/Vs4NHVYP32'"
10/4/18 12:13,Positive,,Happy to see the IT sector coming together to brainstorm on vital issues. https://t.co/KdKeon6kqz'
10/4/18 12:08,Positive,,Happy to know. Keep working hard. My best wishes. https://t.co/ejqY00OvRK'
10/3/18 14:20,Positive,,"Thanks @bhupendrachaube. \n\nThe media fraternity has added valuable strength to the movement to clean India. The effort is ongoing, with lot of ground covered and a fair amount of work to do as well. Am sure we will succeed. \n\nTogether, 130 crore Indians will fulfil Bapu\xe2\x80\x99s dream. https://t.co/ZEFAcFduOo'"
10/3/18 14:18,Positive,,"Thanks Prateek. The award is for India and Indian values, which teaches each one of us to respect nature. https://t.co/mdla7CPwGp'"
10/2/18 15:22,Positive,,Happy to see this. \n\nCleanliness will further the growth of the tourism sector in Arunachal Pradesh. This augurs well for the state. #Gandhi150 https://t.co/7E7CHYiQMI'
9/30/18 8:24,Positive,,"Gujarat and the cooperative sector have a strong link, thanks to the work of Sardar Patel. \n\nSardar Patel\xe2\x80\x99s association with Amul is well known but long before that, as the head of the municipality of Ahmedabad he worked extensively on cooperative housing. https://t.co/vfeZT6pKmY'"
9/28/18 14:42,Positive,,"This video makes me happy- because of the stupendous efforts of the @ITBP_official team. \n\nBut, it is disappointing to see our mountains and lakes being dirtied like this. \n\nLet us pledge to keep our mountains and lakes clean. https://t.co/96y10EYZiO'"
9/28/18 14:39,Positive,,Happy to see this. India needs cleaner coasts and the recent rise in cleanliness activities in coastal areas is a positive step. https://t.co/U4lagx76xW'
9/27/18 16:28,Neutral,,"Saddened by the demise of former Gujarat Minister Shri Manoharsinh Jadeja Ji. Respected across party lines, he made a mark as a dedicated legislator and good administrator. My thoughts are with his family and well wishers in this sad hour.'"
9/26/18 2:48,Positive,,"Ms. S. Mirabai Chanu has been distinguishing herself in many sports tournaments, both in India and across the world. Thanks to her skills and dedication, this talented weightlifter is an inspiration for all sports lovers. Congratulations to her on being conferred the Khel Ratna.'"
9/25/18 13:41,Negative,Pro Gov,"It has been 17 years and counting, the Congress has called me all sorts of names. The have heaped abuses, even mocked my poverty. \n\nThe more they abuse me, the more the Lotus will shine! https://t.co/POrQYUThDI'"
9/25/18 13:36,Negative,Pro Gov,"We have also lost elections but we have never questioned the electoral process. We accepted the results, introspected and emerged stronger. \n\nCongress refuses to do so which is why their presence across India is miniscule. People of India detest the arrogance of the Congress. https://t.co/vSBVTHJJp'"
9/25/18 3:02,Positive,,"Thanks Abhinav! I appreciate your optimism. As for healthcare, I am personally committed to ensuring the poor, neo-middle and middle classes get access to healthcare that is of top quality and is affordable. https://t.co/qmKk6Z5nj'"
9/22/18 9:42,Positive,,The NDA Government is unwavering in its commitment to uplift the lives of the poor and the marginalised. \n\nHappy to see my sisters and brothers of Odisha benefitting due to various schemes and initiatives of the Central Government. https://t.co/VaaHv8KTst'
9/20/18 14:01,Positive,,Happy to see this. Congratulations to the people of Puducherry. https://t.co/1DWtjWxzUc'
9/19/18 14:56,Positive,Pro Gov,Had a delightful interaction with Anganwadi workers from all over India. They were extremely happy with the recent announcement of various incentives for their welfare. https://t.co/aYMkdh9SaS https://t.co/yumpNj2aF8'
9/17/18 18:20,Positive,,Thanks. You and your team have been providing wonderful leadership to Assam and I am sure the state will continue to grow even further in the times to come. @sarbanandsonwal https://t.co/RjKrAxrW8U'
9/17/18 15:37,Positive,,Appreciate the good wishes. Thanks a lot. https://t.co/KOMJcFbLDT'
